Kategoria,Nr,Pyetja,PO/JO,Shënime
IDENTIFIKIMI,1,A eshte identifikuar qarte qellimi i sistemit AI?,,
IDENTIFIKIMI,2,A eshte percaktuar niveli i rrezikut sipas EU AI Act?,,
IDENTIFIKIMI,3,A eshte verifikuar kategoria ne Aneksin III?,,
IDENTIFIKIMI,4,A jane identifikuar perdoruesit e sistemit?,,
IDENTIFIKIMI,5,A jane identifikuar subjektet e prekura?,,
DOKUMENTIMI,1,A ekziston dokumentimi teknik sipas Aneksit IV?,,
DOKUMENTIMI,2,A eshte dokumentuar arkitektura e sistemit?,,
DOKUMENTIMI,3,A jane dokumentuar te dhenat e trajnimit?,,
DOKUMENTIMI,4,A eshte dokumentuar metodologjia e zhvillimit?,,
DOKUMENTIMI,5,A jane dokumentuar kufizimet e sistemit?,,
TE DHENAT,1,A ka politike qeverisje te te dhenave?,,
TE DHENAT,2,A jane dokumentuar burimet e te dhenave?,,
TE DHENAT,3,A eshte kryer analiza e bias?,,
TE DHENAT,4,A eshte verifikuar cilesia e te dhenave?,,
TE DHENAT,5,A respektohet minimizimi i te dhenave?,,
TRANSPARENCA,1,A informohen perdoruesit qe po nderveprojne me AI?,,
TRANSPARENCA,2,A jane te qarta kufizimet e sistemit?,,
TRANSPARENCA,3,A ofrohet shpjegim per vendimet?,,
TRANSPARENCA,4,A ka manual perdoruesi?,,
TRANSPARENCA,5,A komunikohen rreziqet e mbetura?,,
MBIKQYRJA,1,A mundesohet mbikqyrja njerezore?,,
MBIKQYRJA,2,A ka mundesi per nderhyrje manuale?,,
MBIKQYRJA,3,A ka buton STOP/override?,,
MBIKQYRJA,4,A eshte trajnuar stafi per mbikqyrje?,,
MBIKQYRJA,5,A ka procedura per eskalimet?,,
LOGGING,1,A regjistrohen automatikisht ngjarjet?,,
LOGGING,2,A mundesojne log-et gjurmimin e vendimeve?,,
LOGGING,3,A ruhen log-et per periudhen e duhur?,,
LOGGING,4,A jane log-et te mbrojtura nga modifikimi?,,
LOGGING,5,A ka raporte te rregullta te log-eve?,,
SIGURIA,1,A ka vleresim te sigurise kibernetike?,,
SIGURIA,2,A jane kryer penetration tests?,,
SIGURIA,3,A ka plan per backup dhe rikuperim?,,
SIGURIA,4,A eshte sistemi rezistent ndaj sulmeve?,,
SIGURIA,5,A ka procedura per incidentet?,,
PERFORMANCE,1,A eshte dokumentuar saktesia e sistemit?,,
PERFORMANCE,2,A monitorohet performanca ne kohe reale?,,
PERFORMANCE,3,A ka benchmark te percaktuar?,,
PERFORMANCE,4,A ka procedura per degradimin e performances?,,
PERFORMANCE,5,A testohet rregullisht sistemi?,,
