Faza,Detyra,Pergjegjes,Prioriteti,Statusi,Shenime
JAVA 1-2,Inventarizoni te gjithe sistemet AI ne perdorim,IT Manager,KRITIK,,
JAVA 1-2,Klasifikoni sistemet sipas nivelit te rrezikut,Risk Officer,KRITIK,,
JAVA 1-2,Identifikoni boshlliqet kryesore te dokumentimit,Quality Manager,I LARTE,,
JAVA 1-2,Formoni ekipin e qeverisjes se AI,Drejtori,KRITIK,,
JAVA 3-4,Hartoni Vizionin dhe Parimet e AI,Drejtoria,I LARTE,,
JAVA 3-4,Krijoni Regjistrin e Rreziqeve,Risk Officer,KRITIK,,
JAVA 3-4,Dokumentoni sistemet High-Risk (fillimi),IT Team,KRITIK,,
JAVA 3-4,Percaktoni KPI-te fillestare,Quality Manager,I LARTE,,
JAVA 5-6,Hartoni Politiken e Perdorimit te AI,Policy Team,KRITIK,,
JAVA 5-6,Krijoni procedurat e mbikqyrjes njerezore,Operations,I LARTE,,
JAVA 5-6,Vendosni sistemin e logging,IT Team,KRITIK,,
JAVA 5-6,Percaktoni procedurat e incidenteve,Security Team,I LARTE,,
JAVA 7-8,Trajnoni stafin per politikat e reja,HR/Training,I LARTE,,
JAVA 7-8,Testoni procedurat e incidenteve (simulim),Security Team,MESATAR,,
JAVA 7-8,Kryeni auditin e pare te bias,Quality Team,I LARTE,,
JAVA 7-8,Validoni dokumentimin teknik,IT Team,KRITIK,,
JAVA 9-10,Aktivizoni dashboard-in e monitorimit,IT Team,I LARTE,,
JAVA 9-10,Filloni raportimet periodike,Quality Manager,MESATAR,,
JAVA 9-10,Rishikoni dhe permiresoni politikat,Policy Team,MESATAR,,
JAVA 9-10,Dokumentoni mesimet e nxena,All Teams,MESATAR,,
JAVA 11-12,Auditoni perputhshmerine (te brendshem),Internal Audit,KRITIK,,
JAVA 11-12,Pergatitni raportin per drejtuesit,AI Governance Lead,I LARTE,,
JAVA 11-12,Planifikoni fazat e ardhshme,Drejtoria,I LARTE,,
JAVA 11-12,Festoni sukseset dhe njihni kontributet,HR,MESATAR,,
