day,session,title,governance_input
1,A01,AI si Motor Perputhshmerie,Vizioni dhe Strategjia
1,A02,Validimi ICAO 9303 MRZ,Standardet Teknike
1,A03,Zbulimi i Duplikateve,Cilesia e te Dhenave
1,A04,Auditi i Bias,Menaxhimi i Rrezikut
1,A05,Cilesia e Fotove,Operacionet
1,A06,Ndertimi i Asistentit,Njerezit dhe Aftesit
2,A07,Autopsia e Dokumenteve,Standardet e Verifikimit
2,A08,Identitetet Sintetike,Testimi dhe Validimi
2,A09,Zbulimi Deepfake,Monitorimi i Kercenimeve
2,A10,Shkelja e te Dhenave,Reagimi ndaj Incidenteve
2,A11,EU AI Act Audit,Perputhshmeria Rregullatore
2,A12,Korniza e Qeverisjes,Sinteza e Plote
